MiniEP 5
Nome:Lara Ayumi Nagamatsu
NUSP:9910568	

Run: Query 1
Threads	Run	Time(ms)
1	1	32
1	2	25
1	3	24
1	4	27
1	5	26
2	1	31
2	2	31
2	3	34
2	4	31
2	5	32
4	1	12
4	2	13
4	3	14
4	4	12
4	5	11
8	1	9
8	2	8
8	3	8
8	4	7
8	5	6

Run: Query 2
Threads	Run	Time(ms)
1	1	27
1	2	26
1	3	25
1	4	25
1	5	25
2	1	29
2	2	33
2	3	30
2	4	28
2	5	29
4	1	12
4	2	16
4	3	15
4	4	12
4	5	18
8	1	8
8	2	8
8	3	8
8	4	8
8	5	9

Run: Query 3
Threads	Run	Time(ms)
1	1	2856
1	2	2845
1	3	2958
1	4	2843
1	5	2844
2	1	3527
2	2	3556
2	3	3744
2	4	3174
2	5	3604
4	1	1430
4	2	1394
4	3	1467
4	4	1443
4	5	1440
8	1	644
8	2	615
8	3	616
8	4	614
8	5	622

Run: Query 4
Threads	Run	Time(ms)
1	1	2828
1	2	2952
1	3	2893
1	4	2903
1	5	2980
2	1	3529
2	2	3788
2	3	3279
2	4	3163
2	5	3496
4	1	1372
4	2	1461
4	3	1349
4	4	1337
4	5	1468
8	1	616
8	2	621
8	3	613
8	4	616
8	5	614

Run: Query 5
Threads	Run	Time(ms)
1	1	2765
1	2	2809
1	3	2767
1	4	2811
1	5	2810
2	1	1618
2	2	1642
2	3	1609
2	4	1610
2	5	1604
4	1	848
4	2	824
4	3	850
4	4	841
4	5	843
8	1	747
8	2	833
8	3	800
8	4	729
8	5	868

Run: Query 6
Threads	Run	Time(ms)
1	1	14427
1	2	14429
1	3	14437
1	4	14610
1	5	14715
2	1	7427
2	2	7581
2	3	7758
2	4	7451
2	5	7803
4	1	4236
4	2	4011
4	3	4167
4	4	4109
4	5	3924
8	1	5587
8	2	5504
8	3	5886
8	4	5601
8	5	5795
